Date,Transaction ID,Type,Amount,Fee,Status
2026-07-24,TXN1158,Sale,$91.94,$2.21,Completed
2026-07-24,TXN1159,Sale,$34.51,$0.83,Completed
2026-07-24,TXN1160,Sale,$97.59,$2.34,Completed
2026-07-24,TXN1161,Sale,$54.18,$1.30,Completed
2026-07-24,TXN1162,Sale,$111.54,$2.68,Completed
2026-07-24,TXN1163,Sale,$54.11,$1.30,Completed
2026-07-24,TXN1164,Sale,$90.33,$2.17,Completed
2026-07-24,TXN1165,Sale,$25.83,$0.62,Completed
2026-07-24,TXN1166,Sale,$50.84,$1.22,Completed
2026-07-24,TXN1167,Sale,$60.72,$1.46,Voided
2026-07-24,TXN1168,Sale,$110.87,$2.66,Completed
2026-07-24,TXN1169,Sale,$99.90,$2.40,Completed
2026-07-24,TXN1170,Sale,$32.97,$0.79,Completed
2026-07-25,TXN1171,Sale,$44.77,$1.07,Completed
2026-07-25,TXN1172,Sale,$116.29,$2.79,Completed
2026-07-25,TXN1173,Sale,$79.85,$1.92,Completed
2026-07-25,TXN1174,Sale,$117.89,$2.83,Completed
2026-07-25,TXN1175,Sale,$113.19,$2.72,Completed
2026-07-25,TXN1176,Sale,$116.68,$2.80,Completed
2026-07-25,TXN1177,Sale,$115.80,$2.78,Completed
2026-07-25,TXN1178,Sale,$20.14,$0.48,Completed
2026-07-25,TXN1179,Sale,$89.60,$2.15,Completed
2026-07-25,TXN1180,Sale,$75.90,$1.82,Completed
2026-07-25,TXN1181,Sale,$51.14,$1.23,Completed
2026-07-25,TXN1182,Sale,$36.53,$0.88,Completed
2026-07-25,TXN1183,Sale,$8.19,$0.20,Completed
2026-07-25,TXN1184,Sale,$68.31,$1.64,Completed
2026-07-25,TXN1185,Sale,$91.10,$2.19,Completed
2026-07-25,TXN1186,Sale,$48.79,$1.17,Completed
2026-07-25,TXN1187,Sale,$82.39,$1.98,Voided
2026-07-25,TXN1188,Sale,$43.16,$1.04,Completed
2026-07-25,TXN1189,Sale,$88.61,$2.13,Completed
2026-07-25,TXN1190,Sale,$42.64,$1.02,Completed
2026-07-25,TXN1191,Sale,$53.07,$1.27,Completed
2026-07-25,TXN1192,Sale,$22.26,$0.53,Completed
2026-07-25,TXN1193,Sale,$113.32,$2.72,Completed
2026-07-25,TXN1194,Sale,$109.11,$2.62,Completed
2026-07-25,TXN1195,Sale,$41.71,$1.00,Completed
2026-07-25,TXN1196,Sale,$8.05,$0.19,Completed
2026-07-25,TXN1197,Sale,$56.15,$1.35,Completed
2026-07-25,TXN1198,Sale,$81.33,$1.95,Completed
2026-07-25,TXN1199,Sale,$57.52,$1.38,Completed
2026-07-25,TXN1200,Sale,$61.00,$1.46,Completed
2026-07-25,TXN1201,Sale,$97.15,$2.33,Completed
2026-07-25,TXN1202,Sale,$17.50,$0.42,Completed
2026-07-25,TXN1203,Sale,$78.89,$1.89,Completed
2026-07-25,TXN1204,Sale,$99.66,$2.39,Completed
2026-07-25,TXN1205,Sale,$83.35,$2.00,Completed
2026-07-25,TXN1206,Sale,$30.30,$0.73,Completed
2026-07-25,TXN1207,Refund,($35.42),$0.00,Completed
2026-07-25,TXN1208,Sale,$103.17,$2.48,Completed
2026-07-25,TXN1209,Sale,$54.42,$1.31,Voided
2026-07-25,TXN1210,Sale,$29.78,$0.71,Completed
2026-07-25,TXN1211,Sale,$63.37,$1.52,Completed
2026-07-25,TXN1212,Sale,$81.48,$1.96,Completed
2026-07-25,TXN1213,Refund,($92.11),$0.00,Completed
2026-07-25,TXN1214,Sale,$19.94,$0.48,Completed
2026-07-25,TXN1215,Sale,$27.70,$0.66,Completed
2026-07-25,TXN1216,Sale,$66.01,$1.58,Completed
2026-07-25,TXN1217,Sale,$35.91,$0.86,Voided
2026-07-25,TXN1218,Sale,$59.12,$1.42,Completed
2026-07-25,TXN1219,Sale,$82.77,$1.99,Completed
2026-07-25,TXN1220,Sale,$74.69,$1.79,Completed
2026-07-25,TXN1221,Sale,$107.84,$2.59,Completed
2026-07-25,TXN1222,Sale,$88.56,$2.13,Completed
2026-07-25,TXN1223,Sale,$101.02,$2.42,Completed
2026-07-25,TXN1224,Sale,$108.49,$2.60,Completed
2026-07-25,TXN1225,Sale,$61.16,$1.47,Completed
2026-07-25,TXN1226,Sale,$35.69,$0.86,Completed
2026-07-25,TXN1227,Sale,$93.77,$2.25,Completed
2026-07-25,TXN1228,Sale,$78.20,$1.88,Completed
2026-07-25,TXN1229,Sale,$16.68,$0.40,Completed
2026-07-25,TXN1230,Sale,$38.43,$0.92,Completed
2026-07-25,TXN1231,Sale,$68.50,$1.64,Completed
2026-07-25,TXN1232,Sale,$33.90,$0.81,Completed
2026-07-25,TXN1233,Sale,$87.12,$2.09,Completed
2026-07-25,TXN1234,Sale,$53.65,$1.29,Voided
2026-07-25,TXN1235,Sale,$54.57,$1.31,Completed
2026-07-25,TXN1236,Sale,$55.06,$1.32,Completed
2026-07-25,TXN1237,Sale,$73.42,$1.76,Completed
2026-07-25,TXN1238,Sale,$103.95,$2.49,Completed
2026-07-25,TXN1239,Sale,$50.60,$1.21,Completed
2026-07-25,TXN1240,Refund,($47.40),$0.00,Completed
2026-07-25,TXN1241,Sale,$103.59,$2.49,Completed
2026-07-25,TXN1242,Sale,$54.93,$1.32,Completed
2026-07-25,TXN1243,Sale,$69.17,$1.66,Completed
2026-07-25,TXN1244,Sale,$32.70,$0.78,Completed
2026-07-25,TXN1245,Sale,$56.81,$1.36,Completed
2026-07-25,TXN1246,Refund,($45.65),$0.00,Completed
2026-07-26,TXN1247,Sale,$89.11,$2.14,Completed
2026-07-26,TXN1248,Sale,$110.99,$2.66,Completed
2026-07-26,TXN1249,Sale,$67.82,$1.63,Completed
2026-07-26,TXN1250,Sale,$74.29,$1.78,Completed
2026-07-26,TXN1251,Sale,$17.40,$0.42,Completed
2026-07-26,TXN1252,Sale,$105.09,$2.52,Completed
2026-07-26,TXN1253,Sale,$37.14,$0.89,Completed
2026-07-26,TXN1254,Sale,$58.93,$1.41,Completed
2026-07-26,TXN1255,Sale,$106.52,$2.56,Completed
2026-07-26,TXN1256,Sale,$114.53,$2.75,Completed
2026-07-26,TXN1257,Sale,$101.51,$2.44,Completed
2026-07-26,TXN1258,Sale,$91.89,$2.21,Completed
2026-07-26,TXN1259,Sale,$114.62,$2.75,Voided
2026-07-26,TXN1260,Sale,$15.69,$0.38,Completed
2026-07-26,TXN1261,Sale,$12.51,$0.30,Completed
2026-07-26,TXN1262,Sale,$35.70,$0.86,Voided
2026-07-26,TXN1263,Sale,$77.59,$1.86,Completed
2026-07-26,TXN1264,Sale,$61.04,$1.46,Completed
2026-07-26,TXN1265,Sale,$114.15,$2.74,Completed
2026-07-26,TXN1266,Sale,$36.70,$0.88,Completed
2026-07-26,TXN1267,Sale,$75.86,$1.82,Completed
2026-07-26,TXN1268,Sale,$88.46,$2.12,Completed
2026-07-26,TXN1269,Sale,$26.34,$0.63,Completed
2026-07-26,TXN1270,Sale,$72.81,$1.75,Completed
2026-07-26,TXN1271,Sale,$72.49,$1.74,Completed
2026-07-26,TXN1272,Sale,$50.03,$1.20,Completed
2026-07-26,TXN1273,Sale,$30.21,$0.73,Completed
2026-07-26,TXN1274,Sale,$101.02,$2.42,Completed
2026-07-26,TXN1275,Sale,$86.09,$2.07,Completed
2026-07-26,TXN1276,Sale,$84.64,$2.03,Completed
2026-07-26,TXN1277,Sale,$97.18,$2.33,Completed
2026-07-26,TXN1278,Sale,$12.60,$0.30,Completed
2026-07-26,TXN1279,Sale,$82.09,$1.97,Completed
2026-07-26,TXN1280,Sale,$80.52,$1.93,Voided
2026-07-26,TXN1281,Refund,($55.05),$0.00,Completed
2026-07-26,TXN1282,Sale,$56.55,$1.36,Completed
2026-07-26,TXN1283,Sale,$107.86,$2.59,Completed
2026-07-26,TXN1284,Sale,$25.14,$0.60,Completed
2026-07-26,TXN1285,Sale,$66.44,$1.59,Completed
2026-07-26,TXN1286,Sale,$76.98,$1.85,Completed
2026-07-26,TXN1287,Sale,$94.76,$2.27,Completed
2026-07-26,TXN1288,Sale,$100.48,$2.41,Completed
2026-07-26,TXN1289,Sale,$44.10,$1.06,Completed
2026-07-26,TXN1290,Sale,$112.68,$2.70,Completed
2026-07-26,TXN1291,Sale,$58.49,$1.40,Completed
2026-07-26,TXN1292,Sale,$71.82,$1.72,Completed
2026-07-26,TXN1293,Sale,$45.68,$1.10,Completed
2026-07-26,TXN1294,Sale,$44.40,$1.07,Completed
2026-07-26,TXN1295,Sale,$47.74,$1.15,Completed
2026-07-26,TXN1296,Sale,$39.32,$0.94,Completed
2026-07-26,TXN1297,Sale,$106.57,$2.56,Completed
2026-07-26,TXN1298,Sale,$65.86,$1.58,Completed
2026-07-26,TXN1299,Sale,$35.03,$0.84,Completed
2026-07-26,TXN1300,Sale,$70.18,$1.68,Completed
2026-07-26,TXN1301,Sale,$61.32,$1.47,Completed
2026-07-26,TXN1302,Sale,$58.20,$1.40,Completed
2026-07-26,TXN1303,Refund,($40.95),$0.00,Completed
2026-07-26,TXN1304,Sale,$35.25,$0.85,Completed
2026-07-26,TXN1305,Sale,$49.33,$1.18,Completed
2026-07-26,TXN1306,Sale,$46.50,$1.12,Completed
2026-07-26,TXN1307,Sale,$69.64,$1.67,Completed
2026-07-26,TXN1308,Sale,$58.82,$1.41,Completed
2026-07-26,TXN1309,Sale,$33.82,$0.81,Completed
2026-07-26,TXN1310,Sale,$43.34,$1.04,Completed
2026-07-26,TXN1311,Sale,$114.50,$2.75,Completed
2026-07-26,TXN1312,Sale,$29.45,$0.71,Completed
2026-07-26,TXN1313,Sale,$38.97,$0.94,Completed
2026-07-26,TXN1314,Sale,$93.14,$2.24,Completed
2026-07-26,TXN1315,Sale,$117.82,$2.83,Completed
2026-07-26,TXN1316,Sale,$41.18,$0.99,Completed
2026-07-26,TXN1317,Sale,$41.85,$1.00,Completed
2026-07-26,TXN1318,Sale,$22.18,$0.53,Completed
2026-07-26,TXN1319,Sale,$14.11,$0.34,Voided
2026-07-26,TXN1320,Sale,$113.74,$2.73,Completed
2026-07-26,TXN1321,Sale,$92.31,$2.22,Completed
2026-07-26,TXN1322,Sale,$9.37,$0.22,Cancelled
2026-07-27,TXN1323,Sale,$57.33,$1.38,Completed
2026-07-27,TXN1324,Sale,$13.75,$0.33,Completed
2026-07-27,TXN1325,Sale,$61.51,$1.48,Completed
2026-07-27,TXN1326,Sale,$52.88,$1.27,Completed
2026-07-27,TXN1327,Sale,$78.50,$1.88,Voided
2026-07-27,TXN1328,Sale,$24.71,$0.59,Voided
2026-07-27,TXN1329,Sale,$42.03,$1.01,Completed
2026-07-27,TXN1330,Sale,$21.27,$0.51,Completed
2026-07-27,TXN1331,Sale,$75.91,$1.82,Completed
2026-07-27,TXN1332,Sale,$33.28,$0.80,Completed
2026-07-27,TXN1333,Sale,$58.46,$1.40,Completed
2026-07-27,TXN1334,Sale,$104.34,$2.50,Completed
2026-07-27,TXN1335,Sale,$42.20,$1.01,Completed
2026-07-27,TXN1336,Sale,$76.28,$1.83,Completed
2026-07-27,TXN1337,Sale,$114.13,$2.74,Completed
2026-07-27,TXN1338,Sale,$31.63,$0.76,Completed
2026-07-27,TXN1339,Sale,$25.59,$0.61,Completed
2026-07-27,TXN1340,Sale,$16.41,$0.39,Completed
2026-07-27,TXN1341,Refund,($58.46),$0.00,Completed
2026-07-27,TXN1342,Sale,$40.62,$0.97,Completed
2026-07-27,TXN1343,Sale,$87.18,$2.09,Completed
2026-07-27,TXN1344,Sale,$58.85,$1.41,Completed
2026-07-27,TXN1345,Sale,$111.48,$2.68,Completed
2026-07-27,TXN1346,Sale,$78.01,$1.87,Completed
2026-07-27,TXN1347,Sale,$112.57,$2.70,Completed
2026-07-27,TXN1348,Sale,$68.99,$1.66,Completed
2026-07-27,TXN1349,Sale,$109.74,$2.63,Completed
2026-07-27,TXN1350,Sale,$16.00,$0.38,Completed
2026-07-27,TXN1351,Sale,$42.45,$1.02,Completed
2026-07-27,TXN1352,Sale,$71.75,$1.72,Completed
2026-07-27,TXN1353,Sale,$21.93,$0.53,Completed
2026-07-27,TXN1354,Sale,$86.37,$2.07,Completed
2026-07-27,TXN1355,Sale,$64.05,$1.54,Completed
2026-07-27,TXN1356,Sale,$17.01,$0.41,Completed
2026-07-27,TXN1357,Sale,$56.39,$1.35,Voided
2026-07-27,TXN1358,Sale,$36.04,$0.86,Completed
2026-07-27,TXN1359,Sale,$115.73,$2.78,Cancelled
2026-07-27,TXN1360,Sale,$72.42,$1.74,Completed
2026-07-27,TXN1361,Sale,$119.95,$2.88,Completed
2026-07-28,TXN1362,Sale,$72.54,$1.74,Completed
2026-07-28,TXN1363,Sale,$27.62,$0.66,Completed
2026-07-28,TXN1364,Sale,$57.53,$1.38,Completed
2026-07-28,TXN1365,Sale,$119.66,$2.87,Completed
2026-07-28,TXN1366,Sale,$99.20,$2.38,Completed
2026-07-28,TXN1367,Sale,$60.64,$1.46,Completed
2026-07-28,TXN1368,Sale,$43.96,$1.06,Completed
2026-07-28,TXN1369,Sale,$26.01,$0.62,Cancelled
2026-07-28,TXN1370,Sale,$63.49,$1.52,Completed
2026-07-28,TXN1371,Sale,$52.85,$1.27,Completed
2026-07-28,TXN1372,Sale,$12.11,$0.29,Completed
2026-07-28,TXN1373,Sale,$36.27,$0.87,Cancelled
2026-07-28,TXN1374,Sale,$94.53,$2.27,Completed
2026-07-28,TXN1375,Sale,$100.39,$2.41,Completed
2026-07-28,TXN1376,Refund,($105.37),$0.00,Completed
2026-07-28,TXN1377,Sale,$14.07,$0.34,Completed
2026-07-28,TXN1378,Sale,$77.73,$1.87,Completed
2026-07-28,TXN1379,Sale,$57.51,$1.38,Completed
2026-07-28,TXN1380,Sale,$37.91,$0.91,Voided
2026-07-28,TXN1381,Sale,$40.26,$0.97,Completed
2026-07-28,TXN1382,Sale,$62.29,$1.49,Completed
2026-07-28,TXN1383,Refund,($78.56),$0.00,Completed
2026-07-28,TXN1384,Sale,$87.50,$2.10,Completed
2026-07-28,TXN1385,Sale,$9.53,$0.23,Completed
2026-07-28,TXN1386,Sale,$33.17,$0.80,Completed
2026-07-28,TXN1387,Sale,$20.71,$0.50,Completed
2026-07-28,TXN1388,Sale,$80.54,$1.93,Completed
2026-07-28,TXN1389,Sale,$112.46,$2.70,Completed
2026-07-28,TXN1390,Sale,$87.01,$2.09,Completed
2026-07-28,TXN1391,Sale,$62.04,$1.49,Completed
2026-07-28,TXN1392,Sale,$59.16,$1.42,Completed
2026-07-28,TXN1393,Sale,$29.35,$0.70,Completed
2026-07-28,TXN1394,Sale,$91.58,$2.20,Completed
2026-07-28,TXN1395,Sale,$15.82,$0.38,Completed
2026-07-28,TXN1396,Sale,$103.69,$2.49,Completed
2026-07-28,TXN1397,Sale,$96.22,$2.31,Completed
2026-07-28,TXN1398,Sale,$8.29,$0.20,Completed
2026-07-28,TXN1399,Sale,$101.80,$2.44,Completed
2026-07-28,TXN1400,Sale,$81.91,$1.97,Completed
2026-07-28,TXN1401,Sale,$58.01,$1.39,Completed
2026-07-28,TXN1402,Sale,$45.23,$1.09,Completed
2026-07-28,TXN1403,Sale,$50.25,$1.21,Completed
2026-07-28,TXN1404,Sale,$105.40,$2.53,Completed
2026-07-28,TXN1405,Sale,$34.75,$0.83,Completed
2026-07-28,TXN1406,Sale,$103.87,$2.49,Completed
2026-07-28,TXN1407,Sale,$43.64,$1.05,Completed
2026-07-28,TXN1408,Sale,$110.30,$2.65,Completed
2026-07-28,TXN1409,Sale,$118.70,$2.85,Completed
2026-07-28,TXN1410,Sale,$81.03,$1.94,Completed
2026-07-28,TXN1411,Sale,$116.06,$2.79,Completed
2026-07-28,TXN1412,Sale,$116.12,$2.79,Completed
2026-07-29,TXN1413,Sale,$105.91,$2.54,Completed
2026-07-29,TXN1414,Sale,$66.91,$1.61,Completed
2026-07-29,TXN1415,Sale,$88.91,$2.13,Completed
2026-07-29,TXN1416,Sale,$81.34,$1.95,Completed
2026-07-29,TXN1417,Sale,$60.58,$1.45,Completed
2026-07-29,TXN1418,Sale,$45.92,$1.10,Completed
2026-07-29,TXN1419,Sale,$80.78,$1.94,Completed
2026-07-29,TXN1420,Sale,$103.46,$2.48,Completed
2026-07-29,TXN1421,Sale,$50.56,$1.21,Completed
2026-07-29,TXN1422,Sale,$88.50,$2.12,Completed
2026-07-29,TXN1423,Sale,$105.71,$2.54,Completed
2026-07-29,TXN1424,Sale,$15.66,$0.38,Voided
2026-07-29,TXN1425,Sale,$111.14,$2.67,Completed
2026-07-29,TXN1426,Sale,$91.64,$2.20,Completed
2026-07-29,TXN1427,Sale,$19.03,$0.46,Completed
2026-07-29,TXN1428,Sale,$105.73,$2.54,Completed
2026-07-29,TXN1429,Sale,$85.73,$2.06,Completed
2026-07-29,TXN1430,Sale,$13.15,$0.32,Completed
2026-07-29,TXN1431,Sale,$40.86,$0.98,Completed
2026-07-29,TXN1432,Sale,$24.30,$0.58,Completed
2026-07-29,TXN1433,Sale,$71.38,$1.71,Completed
2026-07-29,TXN1434,Sale,$27.04,$0.65,Completed
2026-07-29,TXN1435,Sale,$105.53,$2.53,Voided
2026-07-29,TXN1436,Sale,$34.97,$0.84,Completed
2026-07-29,TXN1437,Sale,$24.03,$0.58,Completed
2026-07-29,TXN1438,Sale,$36.45,$0.87,Completed
2026-07-29,TXN1439,Sale,$9.05,$0.22,Completed
2026-07-29,TXN1440,Sale,$108.94,$2.61,Completed
2026-07-29,TXN1441,Sale,$25.69,$0.62,Completed
2026-07-29,TXN1442,Sale,$46.70,$1.12,Completed
2026-07-29,TXN1443,Sale,$79.56,$1.91,Completed
2026-07-29,TXN1444,Sale,$36.01,$0.86,Completed
2026-07-29,TXN1445,Sale,$30.31,$0.73,Completed
2026-07-29,TXN1446,Sale,$62.12,$1.49,Completed
2026-07-29,TXN1447,Sale,$72.06,$1.73,Completed
2026-07-29,TXN1448,Sale,$119.18,$2.86,Completed
2026-07-29,TXN1449,Sale,$117.53,$2.82,Completed
